,temperature,geometry
657429.0,,"POLYGON ((-105.3708333033333 29.62916667, -105.3708333033333 29.67083333, -105.4124999633333 29.67083333, -105.4124999633333 29.62916667, -105.3708333033333 29.62916667))"
657437.0,,"POLYGON ((-105.03749997 29.62916667, -105.03749997 29.67083333, -105.07916663 29.67083333, -105.07916663 29.62916667, -105.03749997 29.62916667))"
657435.0,,"POLYGON ((-105.1208333033333 29.62916667, -105.1208333033333 29.67083333, -105.1624999633333 29.67083333, -105.1624999633333 29.62916667, -105.1208333033333 29.62916667))"
657441.0,,"POLYGON ((-104.8708333033333 29.62916667, -104.8708333033333 29.67083333, -104.9124999633333 29.67083333, -104.9124999633333 29.62916667, -104.8708333033333 29.62916667))"
657440.0,,"POLYGON ((-104.91249997 29.62916667, -104.91249997 29.67083333, -104.95416663 29.67083333, -104.95416663 29.62916667, -104.91249997 29.62916667))"
657438.0,,"POLYGON ((-104.9958333033333 29.62916667, -104.9958333033333 29.67083333, -105.0374999633333 29.67083333, -105.0374999633333 29.62916667, -104.9958333033333 29.62916667))"
657439.0,,"POLYGON ((-104.9541666366667 29.62916667, -104.9541666366667 29.67083333, -104.9958332966667 29.67083333, -104.9958332966667 29.62916667, -104.9541666366667 29.62916667))"
656048.0,,"POLYGON ((-105.16249997 29.67083333666667, -105.16249997 29.71249999666666, -105.20416663 29.71249999666666, -105.20416663 29.67083333666667, -105.16249997 29.67083333666667))"
656053.0,,"POLYGON ((-104.9541666366667 29.67083333666667, -104.9541666366667 29.71249999666666, -104.9958332966667 29.71249999666666, -104.9958332966667 29.67083333666667, -104.9541666366667 29.67083333666667))"
656051.0,,"POLYGON ((-105.03749997 29.67083333666667, -105.03749997 29.71249999666666, -105.07916663 29.71249999666666, -105.07916663 29.67083333666667, -105.03749997 29.67083333666667))"
656047.0,,"POLYGON ((-105.2041666366667 29.67083333666667, -105.2041666366667 29.71249999666666, -105.2458332966667 29.71249999666666, -105.2458332966667 29.67083333666667, -105.2041666366667 29.67083333666667))"
656044.0,,"POLYGON ((-105.3291666366667 29.67083333666667, -105.3291666366667 29.71249999666666, -105.3708332966667 29.71249999666666, -105.3708332966667 29.67083333666667, -105.3291666366667 29.67083333666667))"
656049.0,,"POLYGON ((-105.1208333033333 29.67083333666667, -105.1208333033333 29.71249999666666, -105.1624999633333 29.71249999666666, -105.1624999633333 29.67083333666667, -105.1208333033333 29.67083333666667))"
656045.0,,"POLYGON ((-105.28749997 29.67083333666667, -105.28749997 29.71249999666666, -105.32916663 29.71249999666666, -105.32916663 29.67083333666667, -105.28749997 29.67083333666667))"
656050.0,,"POLYGON ((-105.0791666366667 29.67083333666667, -105.0791666366667 29.71249999666666, -105.1208332966667 29.71249999666666, -105.1208332966667 29.67083333666667, -105.0791666366667 29.67083333666667))"
656055.0,,"POLYGON ((-104.8708333033333 29.67083333666667, -104.8708333033333 29.71249999666666, -104.9124999633333 29.71249999666666, -104.9124999633333 29.67083333666667, -104.8708333033333 29.67083333666667))"
656046.0,,"POLYGON ((-105.2458333033333 29.67083333666667, -105.2458333033333 29.71249999666666, -105.2874999633333 29.71249999666666, -105.2874999633333 29.67083333666667, -105.2458333033333 29.67083333666667))"
656043.0,,"POLYGON ((-105.3708333033333 29.67083333666667, -105.3708333033333 29.71249999666666, -105.4124999633333 29.71249999666666, -105.4124999633333 29.67083333666667, -105.3708333033333 29.67083333666667))"
656052.0,,"POLYGON ((-104.9958333033333 29.67083333666667, -104.9958333033333 29.71249999666666, -105.0374999633333 29.71249999666666, -105.0374999633333 29.67083333666667, -104.9958333033333 29.67083333666667))"
656054.0,,"POLYGON ((-104.91249997 29.67083333666667, -104.91249997 29.71249999666666, -104.95416663 29.71249999666666, -104.95416663 29.67083333666667, -104.91249997 29.67083333666667))"
654663.0,,"POLYGON ((-105.1208333033333 29.71250000333334, -105.1208333033333 29.75416666333333, -105.1624999633333 29.75416666333333, -105.1624999633333 29.71250000333334, -105.1208333033333 29.71250000333334))"
654659.0,,"POLYGON ((-105.28749997 29.71250000333334, -105.28749997 29.75416666333333, -105.32916663 29.75416666333333, -105.32916663 29.71250000333334, -105.28749997 29.71250000333334))"
654669.0,,"POLYGON ((-104.8708333033333 29.71250000333334, -104.8708333033333 29.75416666333333, -104.9124999633333 29.75416666333333, -104.9124999633333 29.71250000333334, -104.8708333033333 29.71250000333334))"
654657.0,,"POLYGON ((-105.3708333033333 29.71250000333334, -105.3708333033333 29.75416666333333, -105.4124999633333 29.75416666333333, -105.4124999633333 29.71250000333334, -105.3708333033333 29.71250000333334))"
654658.0,,"POLYGON ((-105.3291666366667 29.71250000333334, -105.3291666366667 29.75416666333333, -105.3708332966667 29.75416666333333, -105.3708332966667 29.71250000333334, -105.3291666366667 29.71250000333334))"
654662.0,,"POLYGON ((-105.16249997 29.71250000333334, -105.16249997 29.75416666333333, -105.20416663 29.75416666333333, -105.20416663 29.71250000333334, -105.16249997 29.71250000333334))"
654661.0,,"POLYGON ((-105.2041666366667 29.71250000333334, -105.2041666366667 29.75416666333333, -105.2458332966667 29.75416666333333, -105.2458332966667 29.71250000333334, -105.2041666366667 29.71250000333334))"
654664.0,,"POLYGON ((-105.0791666366667 29.71250000333334, -105.0791666366667 29.75416666333333, -105.1208332966667 29.75416666333333, -105.1208332966667 29.71250000333334, -105.0791666366667 29.71250000333334))"
654660.0,,"POLYGON ((-105.2458333033333 29.71250000333334, -105.2458333033333 29.75416666333333, -105.2874999633333 29.75416666333333, -105.2874999633333 29.71250000333334, -105.2458333033333 29.71250000333334))"
654668.0,,"POLYGON ((-104.91249997 29.71250000333334, -104.91249997 29.75416666333333, -104.95416663 29.75416666333333, -104.95416663 29.71250000333334, -104.91249997 29.71250000333334))"
654666.0,,"POLYGON ((-104.9958333033333 29.71250000333334, -104.9958333033333 29.75416666333333, -105.0374999633333 29.75416666333333, -105.0374999633333 29.71250000333334, -104.9958333033333 29.71250000333334))"
654665.0,,"POLYGON ((-105.03749997 29.71250000333334, -105.03749997 29.75416666333333, -105.07916663 29.75416666333333, -105.07916663 29.71250000333334, -105.03749997 29.71250000333334))"
654667.0,,"POLYGON ((-104.9541666366667 29.71250000333334, -104.9541666366667 29.75416666333333, -104.9958332966667 29.75416666333333, -104.9958332966667 29.71250000333334, -104.9541666366667 29.71250000333334))"
653280.0,,"POLYGON ((-104.9958333033333 29.75416667, -104.9958333033333 29.79583333, -105.0374999633333 29.79583333, -105.0374999633333 29.75416667, -104.9958333033333 29.75416667))"
653277.0,,"POLYGON ((-105.1208333033333 29.75416667, -105.1208333033333 29.79583333, -105.1624999633333 29.79583333, -105.1624999633333 29.75416667, -105.1208333033333 29.75416667))"
653282.0,,"POLYGON ((-104.91249997 29.75416667, -104.91249997 29.79583333, -104.95416663 29.79583333, -104.95416663 29.75416667, -104.91249997 29.75416667))"
653283.0,,"POLYGON ((-104.8708333033333 29.75416667, -104.8708333033333 29.79583333, -104.9124999633333 29.79583333, -104.9124999633333 29.75416667, -104.8708333033333 29.75416667))"
653271.0,,"POLYGON ((-105.3708333033333 29.75416667, -105.3708333033333 29.79583333, -105.4124999633333 29.79583333, -105.4124999633333 29.75416667, -105.3708333033333 29.75416667))"
653275.0,,"POLYGON ((-105.2041666366667 29.75416667, -105.2041666366667 29.79583333, -105.2458332966667 29.79583333, -105.2458332966667 29.75416667, -105.2041666366667 29.75416667))"
653279.0,,"POLYGON ((-105.03749997 29.75416667, -105.03749997 29.79583333, -105.07916663 29.79583333, -105.07916663 29.75416667, -105.03749997 29.75416667))"
653278.0,,"POLYGON ((-105.0791666366667 29.75416667, -105.0791666366667 29.79583333, -105.1208332966667 29.79583333, -105.1208332966667 29.75416667, -105.0791666366667 29.75416667))"
653276.0,,"POLYGON ((-105.16249997 29.75416667, -105.16249997 29.79583333, -105.20416663 29.79583333, -105.20416663 29.75416667, -105.16249997 29.75416667))"
653274.0,,"POLYGON ((-105.2458333033333 29.75416667, -105.2458333033333 29.79583333, -105.2874999633333 29.79583333, -105.2874999633333 29.75416667, -105.2458333033333 29.75416667))"
653281.0,,"POLYGON ((-104.9541666366667 29.75416667, -104.9541666366667 29.79583333, -104.9958332966667 29.79583333, -104.9958332966667 29.75416667, -104.9541666366667 29.75416667))"
653273.0,,"POLYGON ((-105.28749997 29.75416667, -105.28749997 29.79583333, -105.32916663 29.79583333, -105.32916663 29.75416667, -105.28749997 29.75416667))"
653272.0,,"POLYGON ((-105.3291666366667 29.75416667, -105.3291666366667 29.79583333, -105.3708332966667 29.79583333, -105.3708332966667 29.75416667, -105.3291666366667 29.75416667))"
651894.0,,"POLYGON ((-104.9958333033333 29.79583333666667, -104.9958333033333 29.83749999666666, -105.0374999633333 29.83749999666666, -105.0374999633333 29.79583333666667, -104.9958333033333 29.79583333666667))"
660200.0,,"POLYGON ((-105.41249997 29.54583333666667, -105.41249997 29.58749999666666, -105.45416663 29.58749999666666, -105.45416663 29.54583333666667, -105.41249997 29.54583333666667))"
661610.0,291.9,"POLYGON ((-104.41249997 29.50416667, -104.41249997 29.54583333, -104.45416663 29.54583333, -104.45416663 29.50416667, -104.41249997 29.50416667))"
660219.0,,"POLYGON ((-104.6208333033333 29.54583333666667, -104.6208333033333 29.58749999666666, -104.6624999633333 29.58749999666666, -104.6624999633333 29.54583333666667, -104.6208333033333 29.54583333666667))"
660224.0,292.0,"POLYGON ((-104.41249997 29.54583333666667, -104.41249997 29.58749999666666, -104.45416663 29.58749999666666, -104.45416663 29.54583333666667, -104.41249997 29.54583333666667))"
660217.0,,"POLYGON ((-104.7041666366667 29.54583333666667, -104.7041666366667 29.58749999666666, -104.7458332966667 29.58749999666666, -104.7458332966667 29.54583333666667, -104.7041666366667 29.54583333666667))"
660220.0,,"POLYGON ((-104.5791666366667 29.54583333666667, -104.5791666366667 29.58749999666666, -104.6208332966667 29.58749999666666, -104.6208332966667 29.54583333666667, -104.5791666366667 29.54583333666667))"
660215.0,,"POLYGON ((-104.78749997 29.54583333666667, -104.78749997 29.58749999666666, -104.82916663 29.58749999666666, -104.82916663 29.54583333666667, -104.78749997 29.54583333666667))"
660216.0,,"POLYGON ((-104.7458333033333 29.54583333666667, -104.7458333033333 29.58749999666666, -104.7874999633333 29.58749999666666, -104.7874999633333 29.54583333666667, -104.7458333033333 29.54583333666667))"
660221.0,,"POLYGON ((-104.53749997 29.54583333666667, -104.53749997 29.58749999666666, -104.57916663 29.58749999666666, -104.57916663 29.54583333666667, -104.53749997 29.54583333666667))"
660223.0,291.9,"POLYGON ((-104.4541666366667 29.54583333666667, -104.4541666366667 29.58749999666666, -104.4958332966667 29.58749999666666, -104.4958332966667 29.54583333666667, -104.4541666366667 29.54583333666667))"
660222.0,,"POLYGON ((-104.4958333033333 29.54583333666667, -104.4958333033333 29.58749999666666, -104.5374999633333 29.58749999666666, -104.5374999633333 29.54583333666667, -104.4958333033333 29.54583333666667))"
660225.0,291.9,"POLYGON ((-104.3708333033333 29.54583333666667, -104.3708333033333 29.58749999666666, -104.4124999633333 29.58749999666666, -104.4124999633333 29.54583333666667, -104.3708333033333 29.54583333666667))"
660218.0,,"POLYGON ((-104.66249997 29.54583333666667, -104.66249997 29.58749999666666, -104.70416663 29.58749999666666, -104.70416663 29.54583333666667, -104.66249997 29.54583333666667))"
658834.0,,"POLYGON ((-104.5791666366667 29.58750000333334, -104.5791666366667 29.62916666333333, -104.6208332966667 29.62916666333333, -104.6208332966667 29.58750000333334, -104.5791666366667 29.58750000333334))"
658830.0,,"POLYGON ((-104.7458333033333 29.58750000333334, -104.7458333033333 29.62916666333333, -104.7874999633333 29.62916666333333, -104.7874999633333 29.58750000333334, -104.7458333033333 29.58750000333334))"
658833.0,,"POLYGON ((-104.6208333033333 29.58750000333334, -104.6208333033333 29.62916666333333, -104.6624999633333 29.62916666333333, -104.6624999633333 29.58750000333334, -104.6208333033333 29.58750000333334))"
658838.0,291.6,"POLYGON ((-104.41249997 29.58750000333334, -104.41249997 29.62916666333333, -104.45416663 29.62916666333333, -104.45416663 29.58750000333334, -104.41249997 29.58750000333334))"
658835.0,,"POLYGON ((-104.53749997 29.58750000333334, -104.53749997 29.62916666333333, -104.57916663 29.62916666333333, -104.57916663 29.58750000333334, -104.53749997 29.58750000333334))"
658836.0,291.7,"POLYGON ((-104.4958333033333 29.58750000333334, -104.4958333033333 29.62916666333333, -104.5374999633333 29.62916666333333, -104.5374999633333 29.58750000333334, -104.4958333033333 29.58750000333334))"
658829.0,,"POLYGON ((-104.78749997 29.58750000333334, -104.78749997 29.62916666333333, -104.82916663 29.62916666333333, -104.82916663 29.58750000333334, -104.78749997 29.58750000333334))"
658837.0,291.8,"POLYGON ((-104.4541666366667 29.58750000333334, -104.4541666366667 29.62916666333333, -104.4958332966667 29.62916666333333, -104.4958332966667 29.58750000333334, -104.4541666366667 29.58750000333334))"
658828.0,,"POLYGON ((-104.8291666366667 29.58750000333334, -104.8291666366667 29.62916666333333, -104.8708332966667 29.62916666333333, -104.8708332966667 29.58750000333334, -104.8291666366667 29.58750000333334))"
658832.0,,"POLYGON ((-104.66249997 29.58750000333334, -104.66249997 29.62916666333333, -104.70416663 29.62916666333333, -104.70416663 29.58750000333334, -104.66249997 29.58750000333334))"
658831.0,,"POLYGON ((-104.7041666366667 29.58750000333334, -104.7041666366667 29.62916666333333, -104.7458332966667 29.62916666333333, -104.7458332966667 29.58750000333334, -104.7041666366667 29.58750000333334))"
657444.0,,"POLYGON ((-104.7458333033333 29.62916667, -104.7458333033333 29.67083333, -104.7874999633333 29.67083333, -104.7874999633333 29.62916667, -104.7458333033333 29.62916667))"
657451.0,291.6,"POLYGON ((-104.4541666366667 29.62916667, -104.4541666366667 29.67083333, -104.4958332966667 29.67083333, -104.4958332966667 29.62916667, -104.4541666366667 29.62916667))"
657443.0,,"POLYGON ((-104.78749997 29.62916667, -104.78749997 29.67083333, -104.82916663 29.67083333, -104.82916663 29.62916667, -104.78749997 29.62916667))"
657445.0,,"POLYGON ((-104.7041666366667 29.62916667, -104.7041666366667 29.67083333, -104.7458332966667 29.67083333, -104.7458332966667 29.62916667, -104.7041666366667 29.62916667))"
657442.0,,"POLYGON ((-104.8291666366667 29.62916667, -104.8291666366667 29.67083333, -104.8708332966667 29.67083333, -104.8708332966667 29.62916667, -104.8291666366667 29.62916667))"
